id_virtual,lsm_model,grupo,lsm_liwc
01-714_CONN_vs_SCAL,0.8762323740793705,SCOTUS,0.85
01-714_CONN_vs_GINS,0.8501529733683444,SCOTUS,0.86
01-714_CONN_vs_BREY,0.8957997933746648,SCOTUS,0.91
01-714_CONN_vs_DELL,0.9384295938472272,SCOTUS,0.96
01-714_CONN_vs_OLSO,0.8792009514225465,SCOTUS,0.87
01-714_KENN_vs_SOUT,0.9110264281177419,SCOTUS,0.93
01-714_KENN_vs_SCAL,0.9003324636133362,SCOTUS,0.86
01-714_KENN_vs_GINS,0.8567305677679948,SCOTUS,0.84
01-714_KENN_vs_BREY,0.9266614907475395,SCOTUS,0.93
01-714_KENN_vs_DELL,0.9208165079774281,SCOTUS,0.93
01-714_KENN_vs_OLSO,0.816949414408511,SCOTUS,0.83
01-714_SOUT_vs_SCAL,0.862385511791314,SCOTUS,0.83
01-714_SOUT_vs_GINS,0.802932286804575,SCOTUS,0.84
01-714_SOUT_vs_BREY,0.9378680928005092,SCOTUS,0.87
01-714_SOUT_vs_DELL,0.9138812784676613,SCOTUS,0.92
01-714_SOUT_vs_OLSO,0.8448204836004469,SCOTUS,0.85
01-714_SCAL_vs_GINS,0.8632404171391633,SCOTUS,0.89
01-714_SCAL_vs_BREY,0.8606588505173086,SCOTUS,0.86
01-714_SCAL_vs_DELL,0.871789237521976,SCOTUS,0.85
01-714_SCAL_vs_OLSO,0.7856288315001738,SCOTUS,0.79
01-714_GINS_vs_BREY,0.8070804403208178,SCOTUS,0.81
01-714_GINS_vs_DELL,0.8451385546078688,SCOTUS,0.86
01-714_GINS_vs_OLSO,0.7674968903875917,SCOTUS,0.78
01-714_BREY_vs_DELL,0.8932768905081441,SCOTUS,0.89
01-714_BREY_vs_OLSO,0.7930601071563572,SCOTUS,0.79
01-714_DELL_vs_OLSO,0.8496666107966968,SCOTUS,0.85
00-9285_REHN_vs_WAGN,0.8879423653417534,SCOTUS,0.85
00-9285_REHN_vs_BREY,0.8535636303678271,SCOTUS,0.84
00-9285_REHN_vs_GINS,0.8267843015801714,SCOTUS,0.82
00-9285_REHN_vs_KENN,0.9013554534664923,SCOTUS,0.89
00-9285_REHN_vs_STEV,0.8856728093388659,SCOTUS,0.86
00-9285_REHN_vs_SCAL,0.8054759411416719,SCOTUS,0.81
00-9285_REHN_vs_SOUT,0.8934542755949911,SCOTUS,0.84
00-9285_REHN_vs_HARR,0.907645403111112,SCOTUS,0.86
00-9285_REHN_vs_GORN,0.8442165104664681,SCOTUS,0.8
00-9285_WAGN_vs_BREY,0.7722269596250624,SCOTUS,0.8
00-9285_WAGN_vs_GINS,0.8621259455739574,SCOTUS,0.87
00-9285_WAGN_vs_KENN,0.9051680401149073,SCOTUS,0.93
00-9285_WAGN_vs_STEV,0.8800280269482752,SCOTUS,0.88
00-9285_WAGN_vs_SCAL,0.7656769452467783,SCOTUS,0.78
00-9285_WAGN_vs_SOUT,0.8707680589601702,SCOTUS,0.87
00-9285_WAGN_vs_HARR,0.9230797996646449,SCOTUS,0.93
00-9285_WAGN_vs_GORN,0.9137939898647252,SCOTUS,0.9
00-9285_BREY_vs_GINS,0.8764516873123424,SCOTUS,0.92
00-9285_BREY_vs_KENN,0.8086193237459292,SCOTUS,0.78
00-9285_BREY_vs_STEV,0.8332540886467926,SCOTUS,0.86
00-9285_BREY_vs_SCAL,0.873331998994838,SCOTUS,0.91
00-9285_BREY_vs_SOUT,0.8865434706656524,SCOTUS,0.89
