id_virtual,lsm_model,grupo,lsm_liwc
00-9285_WAGN_vs_KENN,0.9018501496846533,SCOTUS,0.93
00-9285_WAGN_vs_STEV,0.8631272403458852,SCOTUS,0.88
00-9285_WAGN_vs_SCAL,0.7630461459330519,SCOTUS,0.78
00-9285_WAGN_vs_SOUT,0.8648265853091058,SCOTUS,0.87
00-9285_WAGN_vs_HARR,0.9279358181326097,SCOTUS,0.93
00-9285_WAGN_vs_GORN,0.8894702898966755,SCOTUS,0.9
00-9285_BREY_vs_GINS,0.8698991630566457,SCOTUS,0.92
00-9285_BREY_vs_KENN,0.8037576404639393,SCOTUS,0.78
00-9285_BREY_vs_STEV,0.8372418946794167,SCOTUS,0.86
00-9285_BREY_vs_SCAL,0.875988201889697,SCOTUS,0.91
00-9285_BREY_vs_SOUT,0.8860831165938374,SCOTUS,0.89
00-9285_BREY_vs_HARR,0.8122916995631964,SCOTUS,0.8
00-9285_BREY_vs_GORN,0.7726964002699312,SCOTUS,0.79
00-9285_GINS_vs_KENN,0.8366934183744397,SCOTUS,0.86
00-9285_GINS_vs_STEV,0.8806415060559785,SCOTUS,0.92
00-9285_GINS_vs_SCAL,0.847278941585458,SCOTUS,0.89
00-9285_GINS_vs_SOUT,0.8851549601759588,SCOTUS,0.91
00-9285_GINS_vs_HARR,0.8719796051751124,SCOTUS,0.87
00-9285_GINS_vs_GORN,0.8640691889549326,SCOTUS,0.86
00-9285_KENN_vs_STEV,0.8724901356270132,SCOTUS,0.89
00-9285_KENN_vs_SCAL,0.7818401002767121,SCOTUS,0.76
00-9285_KENN_vs_SOUT,0.8549487953073578,SCOTUS,0.85
00-9285_KENN_vs_HARR,0.9161329947895619,SCOTUS,0.94
00-9285_KENN_vs_GORN,0.8704937643796249,SCOTUS,0.89
00-9285_STEV_vs_SCAL,0.8066736331625498,SCOTUS,0.83
00-9285_STEV_vs_SOUT,0.913715433142551,SCOTUS,0.93
00-9285_STEV_vs_HARR,0.9301703991101715,SCOTUS,0.9
00-9285_STEV_vs_GORN,0.8553218793665702,SCOTUS,0.89
00-9285_SCAL_vs_SOUT,0.8632138350089527,SCOTUS,0.85
00-9285_SCAL_vs_HARR,0.7790604889103379,SCOTUS,0.78
00-9285_SCAL_vs_GORN,0.7735997719239333,SCOTUS,0.77
00-9285_SOUT_vs_HARR,0.8943958077904046,SCOTUS,0.89
00-9285_SOUT_vs_GORN,0.8460906768249515,SCOTUS,0.87
00-9285_HARR_vs_GORN,0.8876362780555336,SCOTUS,0.91
01-518_REHN_vs_BASK,0.8500339089484539,SCOTUS,0.82
01-518_REHN_vs_CONN,0.8343756773515703,SCOTUS,0.83
01-518_REHN_vs_BREY,0.8360804312988571,SCOTUS,0.84
01-518_REHN_vs_GINS,0.8157051178424283,SCOTUS,0.8
01-518_REHN_vs_SOUT,0.8793342518807288,SCOTUS,0.84
01-518_REHN_vs_STEV,0.8116371374600986,SCOTUS,0.83
01-518_REHN_vs_SCAL,0.8578375668400208,SCOTUS,0.82
01-518_REHN_vs_KENN,0.854903883372357,SCOTUS,0.85
01-518_REHN_vs_WALL,0.8254662636731211,SCOTUS,0.81
01-518_BASK_vs_CONN,0.8594689581173784,SCOTUS,0.83
01-518_BASK_vs_BREY,0.8637667069112729,SCOTUS,0.89
01-518_BASK_vs_GINS,0.8928311202500452,SCOTUS,0.88
01-518_BASK_vs_SOUT,0.9051321877620988,SCOTUS,0.92
01-518_BASK_vs_STEV,0.8407097472772723,SCOTUS,0.88
01-518_BASK_vs_SCAL,0.9658158729708626,SCOTUS,0.96
01-518_BASK_vs_KENN,0.8655663418351304,SCOTUS,0.87
01-518_BASK_vs_WALL,0.8538212852744205,SCOTUS,0.86
01-518_CONN_vs_BREY,0.910761773925141,SCOTUS,0.88
01-518_CONN_vs_GINS,0.9168741308172977,SCOTUS,0.9
01-518_CONN_vs_SOUT,0.8282229099412458,SCOTUS,0.84
01-518_CONN_vs_STEV,0.8727902984205904,SCOTUS,0.86
01-518_CONN_vs_SCAL,0.8874786778303241,SCOTUS,0.85
01-518_CONN_vs_KENN,0.8811168185409084,SCOTUS,0.88
01-518_CONN_vs_WALL,0.8591959981838313,SCOTUS,0.83
01-518_BREY_vs_GINS,0.906660768157125,SCOTUS,0.91
01-518_BREY_vs_SOUT,0.8796850220934667,SCOTUS,0.93
01-518_BREY_vs_STEV,0.8085355733189254,SCOTUS,0.86
01-518_BREY_vs_SCAL,0.8718513691911918,SCOTUS,0.89
01-518_BREY_vs_KENN,0.908613871705271,SCOTUS,0.94
01-518_BREY_vs_WALL,0.785249494828674,SCOTUS,0.81
01-518_GINS_vs_SOUT,0.8514727007139737,SCOTUS,0.85
01-518_GINS_vs_STEV,0.8273275430899115,SCOTUS,0.83
01-518_GINS_vs_SCAL,0.9145746057363264,SCOTUS,0.91
01-518_GINS_vs_KENN,0.8702611083887397,SCOTUS,0.88
01-518_GINS_vs_WALL,0.8167963164425147,SCOTUS,0.81
01-518_SOUT_vs_STEV,0.8268121404530673,SCOTUS,0.9
01-518_SOUT_vs_SCAL,0.9095490326592248,SCOTUS,0.92
01-518_SOUT_vs_KENN,0.8904861959475994,SCOTUS,0.93
01-518_SOUT_vs_WALL,0.7925137524436812,SCOTUS,0.82
01-518_STEV_vs_SCAL,0.8584058091163704,SCOTUS,0.89
01-518_STEV_vs_KENN,0.8406041737323203,SCOTUS,0.89
01-518_STEV_vs_WALL,0.8487807811485688,SCOTUS,0.88
01-518_SCAL_vs_KENN,0.8714029914567943,SCOTUS,0.88
01-518_SCAL_vs_WALL,0.8400892985367236,SCOTUS,0.84
01-518_KENN_vs_WALL,0.8374194508019932,SCOTUS,0.84
01-682_ROBB_vs_CONN,0.8381498405711807,SCOTUS,0.89
01-682_ROBB_vs_REHN,0.8359132780496563,SCOTUS,0.84
01-682_ROBB_vs_KENN,0.8166982115447009,SCOTUS,0.88
01-682_ROBB_vs_SCAL,0.79249221656576,SCOTUS,0.81
01-682_ROBB_vs_BREY,0.8872679420717109,SCOTUS,0.84
01-682_ROBB_vs_GINS,0.8174419407434832,SCOTUS,0.85
01-682_ROBB_vs_GARR,0.863793320688921,SCOTUS,0.89
01-682_ROBB_vs_NELS,0.9244850867532031,SCOTUS,0.93
01-682_CONN_vs_REHN,0.7982043845370419,SCOTUS,0.87
01-682_CONN_vs_KENN,0.7600836363381028,SCOTUS,0.83
01-682_CONN_vs_SCAL,0.8032536353215712,SCOTUS,0.78
01-682_CONN_vs_BREY,0.7951729349554446,SCOTUS,0.82
01-682_CONN_vs_GINS,0.8073161493350268,SCOTUS,0.87
01-682_CONN_vs_GARR,0.7888728496808195,SCOTUS,0.8
01-682_CONN_vs_NELS,0.809160069228515,SCOTUS,0.85
01-682_REHN_vs_KENN,0.776412616188275,SCOTUS,0.82
01-682_REHN_vs_SCAL,0.8044745313753925,SCOTUS,0.81
01-682_REHN_vs_BREY,0.838533241704053,SCOTUS,0.89
01-682_REHN_vs_GINS,0.8266899418175843,SCOTUS,0.91
01-682_REHN_vs_GARR,0.7477247063019596,SCOTUS,0.74
01-682_REHN_vs_NELS,0.7693345021033399,SCOTUS,0.78
01-682_KENN_vs_SCAL,0.7627995672280238,SCOTUS,0.82
